,Streamer,Followers,Min_views,Max_views,Avg_views,Other_games,Description,translated_texts,language
5,stray228,1416737,6179.0,36943.0,11546.0,0,"Крепкий и скилловый мужчина, который обучает фишкам в Dota2 и не только ;)Адекватная и доброжелательная атмосфера на каждой трансляции, всегда рад тебя поприветствовать на потоке!По вопросам рекламы stray@streamers-alliance.com","a strong and skill man who teaches chips in dota2 and not only;) an adequate and friendly atmosphere on each broadcast, is always glad to welcome you to the stream! on advertising stray@streamers-alliance.com",ru
6,beyondthesummit,1173329,198.0,6000.0,2037.0,0,"Beyond The Summit is a broadcasting studio and tournament organizer for a variety of esports titles (including Dota 2, SSBM, SSBU, CS:GO, & Rocket League). Following and subscribing enables us to continue to create unique content and host amazing events like The Summit. Thank you for your support!","beyond the summit is a broadcasting studio and tournament organizer for a variety of esports titles (including dota 2, ssbm, ssbu, cs:go, & rocket league). following and subscribing enables us to continue to create unique content and host amazing events like the summit. thank you for your support!",en
10,dendi,1004049,958.0,1344.0,1151.0,0,"Danylo ""Dendi"" Ishutin The founder of [B8 Esports]","danylo ""dendi"" ishutin the founder of [b8 essports]",om
17,dota2mc,694349,6771.0,21008.0,13693.0,0,Топовая студия в мире профессионального киберспорта. Охотимся за красочными рэмпейджами и транслируем главные турниры с лучшими командами мира. ,top studio in the world of professional e -sports.we hunt for colorful ramps and broadcast the main tournaments with the best teams in the world.,ru
18,esl_dota2,690810,1688.0,79922.0,36142.0,0,"The ESL One Berlin Major is here! 18 teams fighting for a $500,000 USD prize pool, 2700 DPC points, and the chance to qualify for The International! Join us for some incredible Dota at the first Major event entirely on the new 7.33 patch!","the esl one berlin major is here! 18 teams fighting for a $500,000 usd prize pool, 2700 dpc points, and the chance to qualify for the international! join us for some incredible dota at the first major event entirely on the new 7.33 patch!",en
19,dreadztv,690447,1041.0,7004.0,2708.0,12,"Человек, брат, сын, муж, отец. Андрей, 31 год. После великолепной карьеры(нет) в дота, дота 2 занялся стримами и вот уже 10 лет тружусь не покладая рук. Автор знаменитой шутки про циклопа. Ведущий нашумевшего телеграм-канала. Остатки скилла и рассудка вы можете увидеть здесь по ср, пт,сб,вс.","man, brother, son, husband, father.andrey, 31 years old.after a magnificent career (no) in dota, dota 2 took up streams and for 10 years i have been working without turning my hands.the author of the famous joke about cyclops.leading the sensational telegram channel.you can see the remnants of skill and reason here according to sr, pt, sat, sun.",ru
21,ybicanoooobov,649157,2723.0,11412.0,5327.0,0,"Тут тебя ждет приятная ночная атмосфера и потные драки на центральном коридоре, присоединяйся братишка! https://vk.com/ybicanoooobov По вопросам рекламы ybn@streamers-alliance.com","here you will find a pleasant night atmosphere and sweaty fights on the central corridor, join the brother!https://vk.com/ybicanoooobov on advertising issues ybn@streamers-alliance.com",ru
24,esl_dota2ember,580111,4328.0,25243.0,16594.0,0,"The ESL One Berlin Major is here! 18 teams fighting for a $500,000 USD prize pool, 2700 DPC points, and the chance to qualify for The International! Join us for some incredible Dota at the first Major event entirely on the new 7.33 patch!","the esl one berlin major is here! 18 teams fighting for a $500,000 usd prize pool, 2700 dpc points, and the chance to qualify for the international! join us for some incredible dota at the first major event entirely on the new 7.33 patch!",en
29,topsonous,522354,6182.0,16618.0,11508.0,0,Top Dog,top dog,en
30,tpabomah,520672,0.0,7792.0,2594.0,4,"Привет! Я бывший течиспикер, учил чемпиона TI играть на минере, взрывал других чемпионов TI на фонтане и многое другое. Но после реворка героя это в прошлом - теперь я учусь играть на керри, но продолжаю пропагандировать нетоксичность в Доте! Также на канале бывают стратегии.","hello!i am a former terecker, taught the ti champion to play on miner, blew up other ti champions on the fountain and much more.but after the hero’s revorka, this is in the past - now i am learning to play kerry, but i continue to promote non -toxicity in dota!there are also strategies on the channel.",ru
31,versuta,495946,1181.0,1779.0,1361.0,2,Красавец мужчина. Спортсмен и киберспортсмен. Пою и танцую. Рыгаю и анализирую. В основном стримлю DOTA2. Для рекламы versuta@live.ru либо vk.com/versuta,handsome man.athlete and e -sportsman.i sing and dance.i blink and analyze.basically stream dota2.for advertising versuta@live.ru or vk.com/versuta,ru
