,Streamer,Followers,Min_views,Max_views,Avg_views,Other_games,Description,translated_texts,language
0,riotgames,6528887,676.0,10194.0,3073.0,0.0,"Welcome to the Riot Games channel, home of LoL Esports and other livestreams related to our games. For LoL Esports broadcasts, schedules, standings and advanced viewing features, head to http://lolesports.com.","welcome to the riot games channel, home of lol esports and other livestreams related to our games. for lol esports broadcasts, schedules, standings and advanced viewing features, head to http://lolesports.com.",en
1,nightblue3,2720066,1314.0,6347.0,3971.0,1.0,one of the league of legends players of all time,one of the league of legends players of all time,en
2,imaqtpie,2587299,974.0,6812.0,2536.0,9.0,"Former pro player taking a break to show the ropes to everyone! Come and ask away, ill be sure to answer. @imaqtpielol","former pro player taking a break to show the ropes to everyone! come and ask away, ill be sure to answer. @imaqtpielol",en
3,yoda,2407674,2450.0,20915.0,10894.0,10.0,"CEO da SehLoiro, apresentador do PlaYlist, CEO Bazar do YoDismo, cupido CASOS de TRABSON, artilheiro FUT DOS STREAMERS, 1 CBLOL, invicto no MSI, viciado em MMO, chat nº 1 pela Forbeloiros, 100% donates p/ YoGamers do Bem, recordista em venda de bonés, e pros íntimos, Anselmo. Nós somos os antigos Y!","ceo of sehloiro, playlist host, yodismo bazaar ceo, cupid cases of trabson, streamers fut top scorer, 1 cblol, unbeaten in msi, mmo addicted, chat no. 1 by forbeloiros, 100% gonates p/ yogamers do bem, recorderin selling caps, and the intimate, anselmo.we are the ancient y!",pt
4,gosu,1989646,986.0,3306.0,2138.0,2.0,League of Legends ADC streamer. Business Inquiries: gosu@surge.management Personal: tsmgosu1994@gmail.com - Beware of discord scammers impersonating this channel,league of legends adc streamer. business inquiries: gosu@surge.management personal: tsmgosu1994@gmail.com - beware of discord scammers impersonating this channel,en
5,lec,1946644,1796.0,201959.0,54414.0,0.0,"Official Twitch Channel of the League of Legends EMEA Championship. For more information, schedules and stats head to Lolesports.com","official twitch channel of the league of legends emea championship. for more information, schedules and stats head to lolesports.com",en
6,lcs,1936290,723.0,104133.0,31973.0,0.0,"The LCS is a ten team league in North America run by Riot Games, where each annual season of competition is hosted twice a year. It concludes with a double-elimination tournament between the top 8 teams. The top 3 finishers from the Summer bracket are entered into the LoL World Championship.","the lcs is a ten team league in north america run by riot games, where each annual season of competition is hosted twice a year. it concludes with a double-elimination tournament between the top 8 teams. the top 3 finishers from the summer bracket are entered into the lol world championship.",en
7,doublelift,1750885,6980.0,13187.0,10459.0,0.0,,,ht
8,lck,1683061,6029.0,181719.0,52027.0,0.0,"For more information, schedules and stats head to the LCK's social media. As of February 7th, 2023, Twitch no longer supports VOD creation or uploads for users in Korea. LCK Full Day VODs can be found on the LCK Global Youtube channel.","for more information, schedules and stats head to the lck's social media. as of february 7th, 2023, twitch no longer supports vod creation or uploads for users in korea. lck full day vods can be found on the lck global youtube channel.",en
9,scarra,1591966,608.0,5505.0,2518.0,11.0,I'm an ex league of legends pro mid laner turned streamer. Also fps prodigy.,i'm an ex league of legends pro mid laner turned streamer. also fps prodigy.,en
10,cblol,1573933,8384.0,125645.0,43009.0,0.0,Boas-vindas ao canal oficial do CBLOL no Twitch. Confira mais notícias sobre o cenário competitivo de League of Legends em https://lolesports.com.,welcome to the official cblol channel on twitch.check out more news about the league of legends competitive scenario at https://lolesports.com.,pt
11,trick2g,1528994,956.0,11973.0,3168.0,3.0,"One of the first League of Legends streamer, plays mostly Udyr, Volibear, and Nasus. Occasionally stream  other games like Apex Legends, PUBG, TFT, Valorant :) Follow and turn on notifications :)","one of the first league of legends streamer, plays mostly udyr, volibear, and nasus. occasionally stream  other games like apex legends, pubg, tft, valorant :) follow and turn on notifications :)",en
12,bjergsenlol,1511230,4196.0,4196.0,4196.0,0.0,League of Legends Mid for 100 Thieves,league of legends mid for 100 thieves,en
13,jankos,1265032,2895.0,13566.0,6862.0,0.0,"Boomer, one of the oldest LoL pro players (Still thinks he is good at Lee sin)","boomer, one of the oldest lol pro players (still thinks he is good at lee sin)",en
14,tfblade,1240370,401.0,7091.0,3577.0,0.0,For business inquiries:	hellotfblade@delucamediagroup.com,for business inquiries:	hellotfblade@delucamediagroup.com,en
15,rekkles,1093577,6369.0,13396.0,9347.0,0.0,The KING in the North (& @Fnatic) 🇸🇪 | rekkles.gg,the king in the north (& @fnatic) 🇸🇪 | rekkles.gg,en
16,lvpes,1067403,318.0,71999.0,16777.0,1.0,"El canal LVPes emite las competiciones oficiales de League of Legends: Superliga, LEC, MSI o Worlds. Suscríbete para acceder a contenidos exclusivos, sorteos, premios y un montón de ventajas. ","the lvpes channel issues the official competitions of league of legends: super league, lec, msi or worlds.subscribe to access exclusive content, raffles, awards and a lot of advantages.",es
17,sivhd,1014800,372.0,372.0,372.0,0.0,"SivHD from League of Legends. Now the host of the Grand Catgirl Casino, the greatest viewer-MMO on Twitch.","sivhd from league of legends. now the host of the grand catgirl casino, the greatest viewer-mmo on twitch.",en
18,thebausffs,1000517,3105.0,21729.0,14652.0,0.0,Challenger Full AD Sion Otp ,challenger full ad sion otp,en
19,lpl,953320,343.0,35701.0,13697.0,0.0,"Official Twitch Channel of the League of Legends Pro League (LPL). For more information, schedules and stats head to Lolesports.com. #CrazyIsOurGame","official twitch channel of the league of legends pro league (lpl). for more information, schedules and stats head to lolesports.com. #crazyisourgame",en
20,brtt,919062,12474.0,13014.0,12744.0,0.0,,,ht
21,baiano,845411,1062.0,79072.0,26286.0,1.0,"Fui pro player de LoL por mais de 5 anos, primeiro jogador Brasileiro a jogar fora do país. Já superei um tumor, depressão e diversas cirurgias! Criei o CBOLÃO e o BAIANALISTA pra trazer alegria e diversão pra vocês! Atualmente faço parte da ILHA DAS LENDAS, para salvarmos o cenário. SÓ AGRADECE!!!!","i went to lol's player for over 5 years, the first brazilian player to play abroad.i've already overcome a tumor, depression and various surgeries!i created cbolão and the bahianalist to bring joy and fun to you!i am currently part of legends island to save the scenario.just thank!!!!",pt
22,riotgamesturkish,840444,1511.0,13083.0,4167.0,0.0,,,ht
23,kaypea,797147,868.0,1135.0,1007.0,0.0,          💜🖤Canadian ᵐᵉᵈⁱᵒᶜʳᵉ Mid   ✨ lux 💕 ahri 💣 ziggs 🔥 brand 🌈 neeko 🦅 anivia 🧭 orianna 👾 vel'koz -  *mechanics are love mechanics are life*,💜🖤canadian ᵐᵉᵈⁱᵒᶜʳᵉ mid   ✨ lux 💕 ahri 💣 ziggs 🔥 brand 🌈 neeko 🦅 anivia 🧭 orianna 👾 vel'koz -  *mechanics are love mechanics are life*,en
24,aphromoo,758494,768.0,1887.0,1327.0,0.0,Yo | Support is That Easy | ,yo | support is that easy |,en
25,cowsep,722120,271.0,1252.0,735.0,0.0,League of Legends streamer that plays Master Yi primarily in High Elo.,league of legends streamer that plays master yi primarily in high elo.,en
26,solary,689282,733.0,21882.0,4636.0,5.0,"Structure esport française présente sur League of Legends, Smash Ultimate, Fortnite, Rocket League, TrackMania, Hearthstone, TFT, DBFZ & Dofus #SLYWIN","structure esport french present on league of legends, smash ultimate, fortnite, rocket league, trackmania, hearthstone, tft, dbfz & dofus #slywin",fr
27,jean_mago,645294,898.0,2046.0,1560.0,0.0,"Jean Mago, top 1 season 10, contato: jeanmago.contato@gmail.com","jean mago, top 1 season 10, contato: jeanmago.contato@gmail.com",es
28,otplol_,644580,282.0,96189.0,9533.0,0.0,On est là !,we are here !,fr
29,imls,643990,562.0,10968.0,4025.0,0.0,I'm LS.,i'm ls.,en
30,lla,624412,7424.0,31012.0,18800.0,0.0,¡La cuenta oficial de la #LLA! Todo sobre los esports de #LeagueofLegends en Latinoamérica,the official account of the #lla!all about the esports of #leagueoflends in latin america,es
31,rush,612889,600.0,5857.0,3286.0,0.0,Business: rush@surge.management,business: rush@surge.management,en
32,noway4u_sir,607239,5703.0,28214.0,14635.0,10.0,"Highelo League of Legends Content, schlechte Scherze und gemütliche Stimmung!","highelo league of legends content, bad jokes and a cozy atmosphere!",de
33,nervarien,604004,366.0,838.0,652.0,0.0,gram w lola bardzo dużo,i play a lot in lola,pl
34,summonersinnlive,579055,1402.0,16119.0,7883.0,1.0,"Summoner's Inn ist das bekannteste League of Legends Portal Deutschlands. Unterhaltsame YouTube Videos, Neuigkeiten zu League of Legends sowie die größten Esport Events der Welt. Summoner's Inn bietet alles, was das League of Legends und Teamfight Tactics Herz begehrt.","summoner's inn is the best known league of legends portal germany.entertaining youtube videos, news about league of legends and the largest esport events in the world.summoner's inn offers everything the league of legends and team fight tactics.",de
